t, c	M(t), рад	E(t), рад	Theta(t), рад	
174	0.0168715	0.287691	2.07562
175	0.0169685	0.28913	2.08005
176	0.0170654	0.290567	2.08443
177	0.0171624	0.292	2.08877
178	0.0172594	0.29343	2.09307
179	0.0173563	0.294857	2.09733
180	0.0174533	0.296281	2.10155
181	0.0175503	0.297702	2.10574
182	0.0176472	0.299119	2.10988
183	0.0177442	0.300533	2.11398
184	0.0178411	0.301944	2.11805
185	0.0179381	0.303352	2.12208
186	0.0180351	0.304757	2.12607
187	0.018132	0.306158	2.13002
188	0.018229	0.307557	2.13394
189	0.018326	0.308952	2.13783
190	0.0184229	0.310343	2.14167
191	0.0185199	0.311732	2.14549
192	0.0186168	0.313117	2.14927
193	0.0187138	0.314499	2.15301
194	0.0188108	0.315878	2.15672
195	0.0189077	0.317254	2.1604
196	0.0190047	0.318626	2.16404
197	0.0191017	0.319995	2.16765
198	0.0191986	0.321361	2.17123
199	0.0192956	0.322724	2.17478
200	0.0193925	0.324083	2.1783
201	0.0194895	0.32544	2.18178
202	0.0195865	0.326792	2.18524
203	0.0196834	0.328142	2.18866
204	0.0197804	0.329488	2.19206
205	0.0198774	0.330832	2.19542
206	0.0199743	0.332172	2.19876
207	0.0200713	0.333508	2.20207
208	0.0201682	0.334842	2.20534
209	0.0202652	0.336172	2.20859
210	0.0203622	0.337498	2.21181
211	0.0204591	0.338822	2.21501
212	0.0205561	0.340142	2.21817
213	0.0206531	0.341459	2.22131
214	0.02075	0.342773	2.22443
215	0.020847	0.344084	2.22751
216	0.020944	0.345391	2.23057
217	0.0210409	0.346695	2.23361
218	0.0211379	0.347996	2.23662
219	0.0212348	0.349293	2.2396
220	0.0213318	0.350588	2.24256
221	0.0214288	0.351879	2.24549
222	0.0215257	0.353166	2.2484
223	0.0216227	0.354451	2.25128
224	0.0217197	0.355732	2.25415
225	0.0218166	0.35701	2.25698
226	0.0219136	0.358285	2.2598
227	0.0220105	0.359556	2.26259
228	0.0221075	0.360824	2.26536
229	0.0222045	0.362089	2.2681
230	0.0223014	0.363351	2.27082
231	0.0223984	0.364609	2.27352
232	0.0224954	0.365865	2.2762
233	0.0225923	0.367116	2.27886
234	0.0226893	0.368365	2.28149
235	0.0227862	0.369611	2.28411
236	0.0228832	0.370853	2.2867
237	0.0229802	0.372092	2.28927
238	0.0230771	0.373328	2.29183
239	0.0231741	0.37456	2.29436
240	0.0232711	0.375789	2.29687
241	0.023368	0.377016	2.29936
242	0.023465	0.378238	2.30183
243	0.0235619	0.379458	2.30429
244	0.0236589	0.380674	2.30672
245	0.0237559	0.381888	2.30913
246	0.0238528	0.383098	2.31153
247	0.0239498	0.384305	2.3139
248	0.0240468	0.385508	2.31626
249	0.0241437	0.386709	2.3186
250	0.0242407	0.387906	2.32092
251	0.0243376	0.3891	2.32323
252	0.0244346	0.390291	2.32551
253	0.0245316	0.391478	2.32778
254	0.0246285	0.392663	2.33003
255	0.0247255	0.393844	2.33227
256	0.0248225	0.395022	2.33448
257	0.0249194	0.396197	2.33668
258	0.0250164	0.397369	2.33887
259	0.0251133	0.398537	2.34103
260	0.0252103	0.399703	2.34318
261	0.0253073	0.400865	2.34532
262	0.0254042	0.402024	2.34743
263	0.0255012	0.40318	2.34954
264	0.0255982	0.404333	2.35162
265	0.0256951	0.405483	2.35369
266	0.0257921	0.40663	2.35575
267	0.0258891	0.407773	2.35779
268	0.025986	0.408914	2.35982
269	0.026083	0.410051	2.36183
270	0.0261799	0.411185	2.36382
271	0.0262769	0.412316	2.3658
272	0.0263739	0.413444	2.36777
273	0.0264708	0.414569	2.36972
274	0.0265678	0.415691	2.37166
275	0.0266648	0.41681	2.37358
276	0.0267617	0.417925	2.3755
277	0.0268587	0.419038	2.37739
278	0.0269556	0.420147	2.37927
279	0.0270526	0.421254	2.38114
280	0.0271496	0.422357	2.383
281	0.0272465	0.423458	2.38484
282	0.0273435	0.424555	2.38667
283	0.0274405	0.425649	2.38849
284	0.0275374	0.426741	2.39029
285	0.0276344	0.427829	2.39208
286	0.0277313	0.428914	2.39386
287	0.0278283	0.429996	2.39563
288	0.0279253	0.431076	2.39738
289	0.0280222	0.432152	2.39912
290	0.0281192	0.433225	2.40085
291	0.0282162	0.434295	2.40257
292	0.0283131	0.435363	2.40427
293	0.0284101	0.436427	2.40596
294	0.028507	0.437488	2.40765
295	0.028604	0.438547	2.40932
296	0.028701	0.439602	2.41097
297	0.0287979	0.440655	2.41262
298	0.0288949	0.441704	2.41426
299	0.0289919	0.442751	2.41588
300	0.0290888	0.443794	2.41749
301	0.0291858	0.444835	2.4191
302	0.0292827	0.445873	2.42069
303	0.0293797	0.446908	2.42227
304	0.0294767	0.44794	2.42384
305	0.0295736	0.448969	2.4254
306	0.0296706	0.449996	2.42695
307	0.0297676	0.451019	2.42849
308	0.0298645	0.45204	2.43002
309	0.0299615	0.453057	2.43154
310	0.0300584	0.454072	2.43304
311	0.0301554	0.455084	2.43454
312	0.0302524	0.456093	2.43603
313	0.0303493	0.4571	2.43751
314	0.0304463	0.458103	2.43898
315	0.0305433	0.459104	2.44044
316	0.0306402	0.460102	2.44189
317	0.0307372	0.461097	2.44333
318	0.0308342	0.462089	2.44476
319	0.0309311	0.463079	2.44618
320	0.0310281	0.464066	2.4476
321	0.031125	0.46505	2.449
322	0.031222	0.466031	2.45039
323	0.031319	0.467009	2.45178
324	0.0314159	0.467985	2.45316
325	0.0315129	0.468958	2.45452
326	0.0316099	0.469928	2.45588
327	0.0317068	0.470896	2.45723
328	0.0318038	0.47186	2.45857
329	0.0319007	0.472822	2.45991
330	0.0319977	0.473782	2.46123
331	0.0320947	0.474738	2.46255
332	0.0321916	0.475692	2.46386
333	0.0322886	0.476644	2.46516
334	0.0323856	0.477592	2.46645
335	0.0324825	0.478538	2.46774
336	0.0325795	0.479482	2.46901
337	0.0326764	0.480422	2.47028
338	0.0327734	0.48136	2.47154
339	0.0328704	0.482296	2.47279
340	0.0329673	0.483229	2.47404
341	0.0330643	0.484159	2.47527
342	0.0331613	0.485086	2.4765
343	0.0332582	0.486011	2.47773
344	0.0333552	0.486934	2.47894
345	0.0334521	0.487853	2.48015
346	0.0335491	0.488771	2.48135
347	0.0336461	0.489685	2.48254
348	0.033743	0.490597	2.48373
349	0.03384	0.491507	2.48491
350	0.033937	0.492414	2.48608
351	0.0340339	0.493318	2.48724
352	0.0341309	0.49422	2.4884
353	0.0342278	0.49512	2.48955
354	0.0343248	0.496017	2.49069
355	0.0344218	0.496911	2.49183
356	0.0345187	0.497803	2.49296
357	0.0346157	0.498692	2.49408
