t, c	M(t), рад	E(t), рад	Theta(t), рад	
265	0.0256951	0	0
266	0.0257921	0	0
267	0.0258891	0	0
268	0.025986	0	0
269	0.026083	0	0
270	0.0261799	0	0
271	0.0262769	0	0
272	0.0263739	0	0
273	0.0264708	0	0
274	0.0265678	0	0
275	0.0266648	0	0
276	0.0267617	0	0
277	0.0268587	0	0
278	0.0269556	0	0
279	0.0270526	0	0
280	0.0271496	0	0
281	0.0272465	0	0
282	0.0273435	0	0
283	0.0274405	0	0
284	0.0275374	0	0
285	0.0276344	0	0
286	0.0277313	0	0
287	0.0278283	0	0
288	0.0279253	0	0
289	0.0280222	0	0
290	0.0281192	0	0
291	0.0282162	0	0
292	0.0283131	0	0
293	0.0284101	0	0
294	0.028507	0	0
295	0.028604	0	0
296	0.028701	0	0
297	0.0287979	0	0
298	0.0288949	0	0
299	0.0289919	0	0
300	0.0290888	0	0
301	0.0291858	0	0
302	0.0292827	0	0
303	0.0293797	0	0
304	0.0294767	0	0
305	0.0295736	0	0
306	0.0296706	0	0
307	0.0297676	0	0
308	0.0298645	0	0
309	0.0299615	0	0
310	0.0300584	0	0
311	0.0301554	0	0
312	0.0302524	0	0
313	0.0303493	0	0
314	0.0304463	0	0
315	0.0305433	0	0
316	0.0306402	0	0
317	0.0307372	0	0
318	0.0308342	0	0
319	0.0309311	0	0
320	0.0310281	0	0
321	0.031125	0	0
322	0.031222	0	0
323	0.031319	0	0
324	0.0314159	0	0
325	0.0315129	0	0
326	0.0316099	0	0
327	0.0317068	0	0
328	0.0318038	0	0
329	0.0319007	0	0
330	0.0319977	0	0
331	0.0320947	0	0
332	0.0321916	0	0
333	0.0322886	0	0
334	0.0323856	0	0
335	0.0324825	0	0
336	0.0325795	0	0
337	0.0326764	0	0
338	0.0327734	0	0
339	0.0328704	0	0
340	0.0329673	0	0
341	0.0330643	0	0
342	0.0331613	0	0
343	0.0332582	0	0
344	0.0333552	0	0
345	0.0334521	0	0
346	0.0335491	0	0
347	0.0336461	0	0
348	0.033743	0	0
349	0.03384	0	0
350	0.033937	0	0
351	0.0340339	0	0
352	0.0341309	0	0
353	0.0342278	0	0
354	0.0343248	0	0
355	0.0344218	0	0
356	0.0345187	0	0
357	0.0346157	0	0
358	0.0347127	0	0
359	0.0348096	0	0
360	0.0349066	0	0
361	0.0350035	0	0
362	0.0351005	0	0
363	0.0351975	0	0
364	0.0352944	0	0
365	0.0353914	0	0
366	0.0354884	0	0
367	0.0355853	0	0
368	0.0356823	0	0
369	0.0357792	0	0
370	0.0358762	0	0
371	0.0359732	0	0
372	0.0360701	0	0
373	0.0361671	0	0
374	0.0362641	0	0
375	0.036361	0	0
376	0.036458	0	0
377	0.036555	0	0
378	0.0366519	0	0
379	0.0367489	0	0
380	0.0368458	0	0
381	0.0369428	0	0
382	0.0370398	0	0
383	0.0371367	0	0
384	0.0372337	0	0
385	0.0373307	0	0
386	0.0374276	0	0
387	0.0375246	0	0
388	0.0376215	0	0
389	0.0377185	0	0
390	0.0378155	0	0
391	0.0379124	0	0
392	0.0380094	0	0
393	0.0381064	0	0
394	0.0382033	0	0
395	0.0383003	0	0
396	0.0383972	0	0
397	0.0384942	0	0
398	0.0385912	0	0
399	0.0386881	0	0
400	0.0387851	0	0
401	0.0388821	0	0
402	0.038979	0	0
403	0.039076	0	0
404	0.0391729	0	0
405	0.0392699	0	0
406	0.0393669	0	0
407	0.0394638	0	0
408	0.0395608	0	0
409	0.0396578	0	0
410	0.0397547	0	0
411	0.0398517	0	0
412	0.0399486	0	0
413	0.0400456	0	0
414	0.0401426	0	0
415	0.0402395	0	0
416	0.0403365	0	0
417	0.0404335	0	0
418	0.0405304	0	0
419	0.0406274	0	0
420	0.0407243	0	0
421	0.0408213	0	0
422	0.0409183	0	0
423	0.0410152	0	0
424	0.0411122	0	0
425	0.0412092	0	0
426	0.0413061	0	0
427	0.0414031	0	0
428	0.0415001	0	0
429	0.041597	0	0
430	0.041694	0	0
431	0.0417909	0	0
432	0.0418879	0	0
433	0.0419849	0	0
434	0.0420818	0	0
435	0.0421788	0	0
436	0.0422758	0	0
437	0.0423727	0	0
438	0.0424697	0	0
439	0.0425666	0	0
440	0.0426636	0	0
441	0.0427606	0	0
442	0.0428575	0	0
443	0.0429545	0	0
444	0.0430515	0	0
445	0.0431484	0	0
446	0.0432454	0	0
447	0.0433423	0	0
448	0.0434393	0	0
449	0.0435363	0	0
450	0.0436332	0	0
451	0.0437302	0	0
452	0.0438272	0	0
453	0.0439241	0	0
454	0.0440211	0	0
455	0.044118	0	0
456	0.044215	0	0
457	0.044312	0	0
458	0.0444089	0	0
459	0.0445059	0	0
460	0.0446029	0	0
461	0.0446998	0	0
462	0.0447968	0	0
463	0.0448937	0	0
464	0.0449907	0	0
465	0.0450877	0	0
466	0.0451846	0	0
467	0.0452816	0	0
468	0.0453786	0	0
469	0.0454755	0	0
470	0.0455725	0	0
471	0.0456694	0	0
472	0.0457664	0	0
473	0.0458634	0	0
474	0.0459603	0	0
475	0.0460573	0	0
476	0.0461543	0	0
477	0.0462512	0	0
478	0.0463482	0	0
479	0.0464452	0	0
480	0.0465421	0	0
481	0.0466391	0	0
482	0.046736	0	0
483	0.046833	0	0
484	0.04693	0	0
485	0.0470269	0	0
486	0.0471239	0	0
487	0.0472209	0	0
488	0.0473178	0	0
489	0.0474148	0	0
490	0.0475117	0	0
491	0.0476087	0	0
492	0.0477057	0	0
493	0.0478026	0	0
494	0.0478996	0	0
495	0.0479966	0	0
496	0.0480935	0	0
497	0.0481905	0	0
498	0.0482874	0	0
499	0.0483844	0	0
500	0.0484814	0	0
501	0.0485783	0	0
502	0.0486753	0	0
503	0.0487723	0	0
504	0.0488692	0	0
505	0.0489662	0	0
506	0.0490631	0	0
507	0.0491601	0	0
508	0.0492571	0	0
509	0.049354	0	0
510	0.049451	0	0
511	0.049548	0	0
512	0.0496449	0	0
513	0.0497419	0	0
514	0.0498388	0	0
515	0.0499358	0	0
516	0.0500328	0	0
517	0.0501297	0	0
518	0.0502267	0	0
519	0.0503237	0	0
520	0.0504206	0	0
521	0.0505176	0	0
522	0.0506145	0	0
523	0.0507115	0	0
524	0.0508085	0	0
525	0.0509054	0	0
526	0.0510024	0	0
527	0.0510994	0	0
528	0.0511963	0	0
529	0.0512933	0	0
530	0.0513903	0	0
531	0.0514872	0	0
532	0.0515842	0	0
533	0.0516811	0	0
534	0.0517781	0	0
535	0.0518751	0	0
536	0.051972	0	0
537	0.052069	0	0
538	0.052166	0	0
539	0.0522629	0	0
540	0.0523599	0	0
541	0.0524568	0	0
542	0.0525538	0	0
543	0.0526508	0	0
544	0.0527477	0	0
545	0.0528447	0	0
546	0.0529417	0	0
547	0.0530386	0	0
548	0.0531356	0	0
549	0.0532325	0	0
550	0.0533295	0	0
551	0.0534265	0	0
552	0.0535234	0	0
553	0.0536204	0	0
554	0.0537174	0	0
555	0.0538143	0	0
556	0.0539113	0	0
557	0.0540082	0	0
558	0.0541052	0	0
559	0.0542022	0	0
560	0.0542991	0	0
561	0.0543961	0	0
562	0.0544931	0	0
563	0.05459	0	0
564	0.054687	0	0
565	0.0547839	0	0
566	0.0548809	0	0
567	0.0549779	0	0
568	0.0550748	0	0
569	0.0551718	0	0
570	0.0552688	0	0
571	0.0553657	0	0
572	0.0554627	0	0
573	0.0555596	0	0
574	0.0556566	0	0
575	0.0557536	0	0
576	0.0558505	0	0
577	0.0559475	0	0
578	0.0560445	0	0
579	0.0561414	0	0
580	0.0562384	0	0
581	0.0563353	0	0
582	0.0564323	0	0
583	0.0565293	0	0
584	0.0566262	0	0
585	0.0567232	0	0
586	0.0568202	0	0
587	0.0569171	0	0
588	0.0570141	0	0
589	0.0571111	0	0
590	0.057208	0	0
591	0.057305	0	0
592	0.0574019	0	0
593	0.0574989	0	0
594	0.0575959	0	0
595	0.0576928	0	0
596	0.0577898	0	0
597	0.0578868	0	0
598	0.0579837	0	0
599	0.0580807	0	0
600	0.0581776	0	0
601	0.0582746	0	0
602	0.0583716	0	0
603	0.0584685	0	0
604	0.0585655	0	0
605	0.0586625	0	0
606	0.0587594	0	0
607	0.0588564	0	0
608	0.0589533	0	0
609	0.0590503	0	0
610	0.0591473	0	0
611	0.0592442	0	0
612	0.0593412	0	0
613	0.0594382	0	0
614	0.0595351	0	0
615	0.0596321	0	0
616	0.059729	0	0
617	0.059826	0	0
618	0.059923	0	0
619	0.0600199	0	0
620	0.0601169	0	0
621	0.0602139	0	0
622	0.0603108	0	0
623	0.0604078	0	0
624	0.0605047	0	0
625	0.0606017	0	0
626	0.0606987	0	0
627	0.0607956	0	0
628	0.0608926	0	0
629	0.0609896	0	0
630	0.0610865	0	0
631	0.0611835	0	0
632	0.0612804	0	0
633	0.0613774	0	0
634	0.0614744	0	0
635	0.0615713	0	0
636	0.0616683	0	0
637	0.0617653	0	0
638	0.0618622	0	0
639	0.0619592	0	0
640	0.0620562	0	0
641	0.0621531	0	0
642	0.0622501	0	0
643	0.062347	0	0
644	0.062444	0	0
645	0.062541	0	0
646	0.0626379	0	0
647	0.0627349	0	0
648	0.0628319	0	0
649	0.0629288	0	0
650	0.0630258	0	0
651	0.0631227	0	0
652	0.0632197	0	0
653	0.0633167	0	0
654	0.0634136	0	0
655	0.0635106	0	0
656	0.0636076	0	0
657	0.0637045	0	0
658	0.0638015	0	0
659	0.0638984	0	0
660	0.0639954	0	0
661	0.0640924	0	0
662	0.0641893	0	0
663	0.0642863	0	0
664	0.0643833	0	0
