t, c	M(t), рад	E(t), рад	Theta(t), рад	
167	0.0161928	-1.16415	3.39982
168	0.0162897	-1.16405	3.39985
169	0.0163867	-1.16395	3.39987
170	0.0164837	-1.16386	3.3999
171	0.0165806	-1.16376	3.39993
172	0.0166776	-1.16366	3.39995
173	0.0167746	-1.16357	3.39998
174	0.0168715	-1.16347	3.40001
175	0.0169685	-1.16337	3.40003
176	0.0170654	-1.16327	3.40006
177	0.0171624	-1.16318	3.40009
178	0.0172594	-1.16308	3.40012
179	0.0173563	-1.16298	3.40014
180	0.0174533	-1.16289	3.40017
181	0.0175503	-1.16279	3.4002
182	0.0176472	-1.16269	3.40022
183	0.0177442	-1.1626	3.40025
184	0.0178411	-1.1625	3.40028
185	0.0179381	-1.1624	3.4003
186	0.0180351	-1.16231	3.40033
187	0.018132	-1.16221	3.40036
188	0.018229	-1.16211	3.40039
189	0.018326	-1.16201	3.40041
190	0.0184229	-1.16192	3.40044
191	0.0185199	-1.16182	3.40047
192	0.0186168	-1.16172	3.40049
193	0.0187138	-1.16163	3.40052
194	0.0188108	-1.16153	3.40055
195	0.0189077	-1.16143	3.40058
196	0.0190047	-1.16134	3.4006
197	0.0191017	-1.16124	3.40063
198	0.0191986	-1.16114	3.40066
199	0.0192956	-1.16104	3.40068
200	0.0193925	-1.16095	3.40071
201	0.0194895	-1.16085	3.40074
202	0.0195865	-1.16075	3.40076
203	0.0196834	-1.16066	3.40079
204	0.0197804	-1.16056	3.40082
205	0.0198774	-1.16046	3.40085
206	0.0199743	-1.16037	3.40087
207	0.0200713	-1.16027	3.4009
208	0.0201682	-1.16017	3.40093
209	0.0202652	-1.16007	3.40095
210	0.0203622	-1.15998	3.40098
211	0.0204591	-1.15988	3.40101
212	0.0205561	-1.15978	3.40104
213	0.0206531	-1.15969	3.40106
214	0.02075	-1.15959	3.40109
215	0.020847	-1.15949	3.40112
216	0.020944	-1.1594	3.40114
217	0.0210409	-1.1593	3.40117
218	0.0211379	-1.1592	3.4012
219	0.0212348	-1.15911	3.40123
220	0.0213318	-1.15901	3.40125
221	0.0214288	-1.15891	3.40128
222	0.0215257	-1.15881	3.40131
223	0.0216227	-1.15872	3.40133
224	0.0217197	-1.15862	3.40136
225	0.0218166	-1.15852	3.40139
226	0.0219136	-1.15843	3.40142
227	0.0220105	-1.15833	3.40144
228	0.0221075	-1.15823	3.40147
229	0.0222045	-1.15814	3.4015
230	0.0223014	-1.15804	3.40152
231	0.0223984	-1.15794	3.40155
232	0.0224954	-1.15784	3.40158
233	0.0225923	-1.15775	3.40161
234	0.0226893	-1.15765	3.40163
235	0.0227862	-1.15755	3.40166
236	0.0228832	-1.15746	3.40169
237	0.0229802	-1.15736	3.40172
238	0.0230771	-1.15726	3.40174
239	0.0231741	-1.15717	3.40177
240	0.0232711	-1.15707	3.4018
241	0.023368	-1.15697	3.40182
242	0.023465	-1.15688	3.40185
243	0.0235619	-1.15678	3.40188
244	0.0236589	-1.15668	3.40191
245	0.0237559	-1.15658	3.40193
246	0.0238528	-1.15649	3.40196
247	0.0239498	-1.15639	3.40199
248	0.0240468	-1.15629	3.40202
249	0.0241437	-1.1562	3.40204
250	0.0242407	-1.1561	3.40207
251	0.0243376	-1.156	3.4021
252	0.0244346	-1.15591	3.40212
253	0.0245316	-1.15581	3.40215
254	0.0246285	-1.15571	3.40218
255	0.0247255	-1.15561	3.40221
256	0.0248225	-1.15552	3.40223
257	0.0249194	-1.15542	3.40226
258	0.0250164	-1.15532	3.40229
259	0.0251133	-1.15523	3.40232
260	0.0252103	-1.15513	3.40234
261	0.0253073	-1.15503	3.40237
262	0.0254042	-1.15494	3.4024
263	0.0255012	-1.15484	3.40242
264	0.0255982	-1.15474	3.40245
265	0.0256951	-1.15465	3.40248
266	0.0257921	-1.15455	3.40251
267	0.0258891	-1.15445	3.40253
268	0.025986	-1.15435	3.40256
269	0.026083	-1.15426	3.40259
270	0.0261799	-1.15416	3.40262
271	0.0262769	-1.15406	3.40264
272	0.0263739	-1.15397	3.40267
273	0.0264708	-1.15387	3.4027
274	0.0265678	-1.15377	3.40273
275	0.0266648	-1.15368	3.40275
276	0.0267617	-1.15358	3.40278
277	0.0268587	-1.15348	3.40281
278	0.0269556	-1.15338	3.40284
279	0.0270526	-1.15329	3.40286
280	0.0271496	-1.15319	3.40289
281	0.0272465	-1.15309	3.40292
282	0.0273435	-1.153	3.40294
283	0.0274405	-1.1529	3.40297
284	0.0275374	-1.1528	3.403
285	0.0276344	-1.15271	3.40303
286	0.0277313	-1.15261	3.40305
287	0.0278283	-1.15251	3.40308
288	0.0279253	-1.15241	3.40311
289	0.0280222	-1.15232	3.40314
290	0.0281192	-1.15222	3.40316
291	0.0282162	-1.15212	3.40319
292	0.0283131	-1.15203	3.40322
293	0.0284101	-1.15193	3.40325
294	0.028507	-1.15183	3.40327
295	0.028604	-1.15174	3.4033
296	0.028701	-1.15164	3.40333
297	0.0287979	-1.15154	3.40336
298	0.0288949	-1.15145	3.40338
299	0.0289919	-1.15135	3.40341
300	0.0290888	-1.15125	3.40344
301	0.0291858	-1.15115	3.40347
302	0.0292827	-1.15106	3.40349
303	0.0293797	-1.15096	3.40352
304	0.0294767	-1.15086	3.40355
305	0.0295736	-1.15077	3.40358
306	0.0296706	-1.15067	3.4036
307	0.0297676	-1.15057	3.40363
308	0.0298645	-1.15048	3.40366
309	0.0299615	-1.15038	3.40369
310	0.0300584	-1.15028	3.40371
311	0.0301554	-1.15018	3.40374
312	0.0302524	-1.15009	3.40377
313	0.0303493	-1.14999	3.4038
314	0.0304463	-1.14989	3.40382
315	0.0305433	-1.1498	3.40385
316	0.0306402	-1.1497	3.40388
317	0.0307372	-1.1496	3.40391
318	0.0308342	-1.14951	3.40393
319	0.0309311	-1.14941	3.40396
320	0.0310281	-1.14931	3.40399
321	0.031125	-1.14922	3.40402
322	0.031222	-1.14912	3.40404
323	0.031319	-1.14902	3.40407
324	0.0314159	-1.14892	3.4041
325	0.0315129	-1.14883	3.40413
326	0.0316099	-1.14873	3.40415
327	0.0317068	-1.14863	3.40418
328	0.0318038	-1.14854	3.40421
329	0.0319007	-1.14844	3.40424
330	0.0319977	-1.14834	3.40427
331	0.0320947	-1.14825	3.40429
332	0.0321916	-1.14815	3.40432
333	0.0322886	-1.14805	3.40435
334	0.0323856	-1.14795	3.40438
335	0.0324825	-1.14786	3.4044
336	0.0325795	-1.14776	3.40443
337	0.0326764	-1.14766	3.40446
338	0.0327734	-1.14757	3.40449
339	0.0328704	-1.14747	3.40451
340	0.0329673	-1.14737	3.40454
341	0.0330643	-1.14728	3.40457
342	0.0331613	-1.14718	3.4046
343	0.0332582	-1.14708	3.40462
344	0.0333552	-1.14699	3.40465
345	0.0334521	-1.14689	3.40468
346	0.0335491	-1.14679	3.40471
347	0.0336461	-1.14669	3.40474
348	0.033743	-1.1466	3.40476
349	0.03384	-1.1465	3.40479
350	0.033937	-1.1464	3.40482
351	0.0340339	-1.14631	3.40485
352	0.0341309	-1.14621	3.40487
353	0.0342278	-1.14611	3.4049
354	0.0343248	-1.14602	3.40493
355	0.0344218	-1.14592	3.40496
356	0.0345187	-1.14582	3.40498
357	0.0346157	-1.14572	3.40501
358	0.0347127	-1.14563	3.40504
359	0.0348096	-1.14553	3.40507
360	0.0349066	-1.14543	3.4051
361	0.0350035	-1.14534	3.40512
362	0.0351005	-1.14524	3.40515
363	0.0351975	-1.14514	3.40518
364	0.0352944	-1.14505	3.40521
365	0.0353914	-1.14495	3.40523
366	0.0354884	-1.14485	3.40526
367	0.0355853	-1.14475	3.40529
368	0.0356823	-1.14466	3.40532
369	0.0357792	-1.14456	3.40534
370	0.0358762	-1.14446	3.40537
371	0.0359732	-1.14437	3.4054
372	0.0360701	-1.14427	3.40543
373	0.0361671	-1.14417	3.40546
374	0.0362641	-1.14408	3.40548
375	0.036361	-1.14398	3.40551
376	0.036458	-1.14388	3.40554
377	0.036555	-1.14379	3.40557
378	0.0366519	-1.14369	3.4056
379	0.0367489	-1.14359	3.40562
380	0.0368458	-1.14349	3.40565
381	0.0369428	-1.1434	3.40568
382	0.0370398	-1.1433	3.40571
383	0.0371367	-1.1432	3.40573
384	0.0372337	-1.14311	3.40576
385	0.0373307	-1.14301	3.40579
386	0.0374276	-1.14291	3.40582
387	0.0375246	-1.14282	3.40585
388	0.0376215	-1.14272	3.40587
389	0.0377185	-1.14262	3.4059
390	0.0378155	-1.14252	3.40593
391	0.0379124	-1.14243	3.40596
392	0.0380094	-1.14233	3.40598
393	0.0381064	-1.14223	3.40601
394	0.0382033	-1.14214	3.40604
395	0.0383003	-1.14204	3.40607
396	0.0383972	-1.14194	3.4061
397	0.0384942	-1.14185	3.40612
398	0.0385912	-1.14175	3.40615
399	0.0386881	-1.14165	3.40618
400	0.0387851	-1.14156	3.40621
401	0.0388821	-1.14146	3.40624
402	0.038979	-1.14136	3.40626
403	0.039076	-1.14126	3.40629
404	0.0391729	-1.14117	3.40632
405	0.0392699	-1.14107	3.40635
406	0.0393669	-1.14097	3.40637
407	0.0394638	-1.14088	3.4064
408	0.0395608	-1.14078	3.40643
409	0.0396578	-1.14068	3.40646
410	0.0397547	-1.14059	3.40649
411	0.0398517	-1.14049	3.40651
412	0.0399486	-1.14039	3.40654
413	0.0400456	-1.14029	3.40657
414	0.0401426	-1.1402	3.4066
415	0.0402395	-1.1401	3.40663
416	0.0403365	-1.14	3.40665
417	0.0404335	-1.13991	3.40668
418	0.0405304	-1.13981	3.40671
419	0.0406274	-1.13971	3.40674
420	0.0407243	-1.13962	3.40677
421	0.0408213	-1.13952	3.40679
422	0.0409183	-1.13942	3.40682
423	0.0410152	-1.13932	3.40685
424	0.0411122	-1.13923	3.40688
425	0.0412092	-1.13913	3.40691
426	0.0413061	-1.13903	3.40693
427	0.0414031	-1.13894	3.40696
428	0.0415001	-1.13884	3.40699
429	0.041597	-1.13874	3.40702
430	0.041694	-1.13865	3.40705
431	0.0417909	-1.13855	3.40707
432	0.0418879	-1.13845	3.4071
433	0.0419849	-1.13836	3.40713
434	0.0420818	-1.13826	3.40716
435	0.0421788	-1.13816	3.40719
436	0.0422758	-1.13806	3.40721
437	0.0423727	-1.13797	3.40724
438	0.0424697	-1.13787	3.40727
439	0.0425666	-1.13777	3.4073
440	0.0426636	-1.13768	3.40733
441	0.0427606	-1.13758	3.40735
442	0.0428575	-1.13748	3.40738
443	0.0429545	-1.13739	3.40741
444	0.0430515	-1.13729	3.40744
445	0.0431484	-1.13719	3.40747
446	0.0432454	-1.13709	3.40749
447	0.0433423	-1.137	3.40752
448	0.0434393	-1.1369	3.40755
449	0.0435363	-1.1368	3.40758
450	0.0436332	-1.13671	3.40761
451	0.0437302	-1.13661	3.40764
452	0.0438272	-1.13651	3.40766
453	0.0439241	-1.13642	3.40769
454	0.0440211	-1.13632	3.40772
455	0.044118	-1.13622	3.40775
456	0.044215	-1.13613	3.40778
457	0.044312	-1.13603	3.4078
458	0.0444089	-1.13593	3.40783
459	0.0445059	-1.13583	3.40786
460	0.0446029	-1.13574	3.40789
461	0.0446998	-1.13564	3.40792
462	0.0447968	-1.13554	3.40794
463	0.0448937	-1.13545	3.40797
464	0.0449907	-1.13535	3.408
465	0.0450877	-1.13525	3.40803
466	0.0451846	-1.13516	3.40806
467	0.0452816	-1.13506	3.40809
468	0.0453786	-1.13496	3.40811
469	0.0454755	-1.13486	3.40814
470	0.0455725	-1.13477	3.40817
471	0.0456694	-1.13467	3.4082
472	0.0457664	-1.13457	3.40823
473	0.0458634	-1.13448	3.40825
474	0.0459603	-1.13438	3.40828
475	0.0460573	-1.13428	3.40831
476	0.0461543	-1.13419	3.40834
477	0.0462512	-1.13409	3.40837
478	0.0463482	-1.13399	3.4084
479	0.0464452	-1.1339	3.40842
480	0.0465421	-1.1338	3.40845
481	0.0466391	-1.1337	3.40848
482	0.046736	-1.1336	3.40851
483	0.046833	-1.13351	3.40854
484	0.04693	-1.13341	3.40856
485	0.0470269	-1.13331	3.40859
486	0.0471239	-1.13322	3.40862
487	0.0472209	-1.13312	3.40865
488	0.0473178	-1.13302	3.40868
489	0.0474148	-1.13293	3.40871
490	0.0475117	-1.13283	3.40873
491	0.0476087	-1.13273	3.40876
492	0.0477057	-1.13263	3.40879
493	0.0478026	-1.13254	3.40882
494	0.0478996	-1.13244	3.40885
495	0.0479966	-1.13234	3.40888
496	0.0480935	-1.13225	3.4089
497	0.0481905	-1.13215	3.40893
498	0.0482874	-1.13205	3.40896
499	0.0483844	-1.13196	3.40899
500	0.0484814	-1.13186	3.40902
501	0.0485783	-1.13176	3.40905
502	0.0486753	-1.13166	3.40907
503	0.0487723	-1.13157	3.4091
504	0.0488692	-1.13147	3.40913
505	0.0489662	-1.13137	3.40916
506	0.0490631	-1.13128	3.40919
507	0.0491601	-1.13118	3.40922
508	0.0492571	-1.13108	3.40924
509	0.049354	-1.13099	3.40927
510	0.049451	-1.13089	3.4093
511	0.049548	-1.13079	3.40933
512	0.0496449	-1.1307	3.40936
513	0.0497419	-1.1306	3.40939
514	0.0498388	-1.1305	3.40941
515	0.0499358	-1.1304	3.40944
516	0.0500328	-1.13031	3.40947
517	0.0501297	-1.13021	3.4095
518	0.0502267	-1.13011	3.40953
519	0.0503237	-1.13002	3.40956
520	0.0504206	-1.12992	3.40958
521	0.0505176	-1.12982	3.40961
522	0.0506145	-1.12973	3.40964
523	0.0507115	-1.12963	3.40967
524	0.0508085	-1.12953	3.4097
525	0.0509054	-1.12943	3.40973
526	0.0510024	-1.12934	3.40975
527	0.0510994	-1.12924	3.40978
528	0.0511963	-1.12914	3.40981
529	0.0512933	-1.12905	3.40984
530	0.0513903	-1.12895	3.40987
531	0.0514872	-1.12885	3.4099
532	0.0515842	-1.12876	3.40993
533	0.0516811	-1.12866	3.40995
534	0.0517781	-1.12856	3.40998
535	0.0518751	-1.12847	3.41001
536	0.051972	-1.12837	3.41004
537	0.052069	-1.12827	3.41007
538	0.052166	-1.12817	3.4101
539	0.0522629	-1.12808	3.41012
540	0.0523599	-1.12798	3.41015
541	0.0524568	-1.12788	3.41018
542	0.0525538	-1.12779	3.41021
543	0.0526508	-1.12769	3.41024
544	0.0527477	-1.12759	3.41027
545	0.0528447	-1.1275	3.4103
546	0.0529417	-1.1274	3.41032
547	0.0530386	-1.1273	3.41035
548	0.0531356	-1.1272	3.41038
549	0.0532325	-1.12711	3.41041
550	0.0533295	-1.12701	3.41044
551	0.0534265	-1.12691	3.41047
552	0.0535234	-1.12682	3.41049
553	0.0536204	-1.12672	3.41052
554	0.0537174	-1.12662	3.41055
555	0.0538143	-1.12653	3.41058
556	0.0539113	-1.12643	3.41061
557	0.0540082	-1.12633	3.41064
558	0.0541052	-1.12623	3.41067
559	0.0542022	-1.12614	3.41069
560	0.0542991	-1.12604	3.41072
561	0.0543961	-1.12594	3.41075
562	0.0544931	-1.12585	3.41078
563	0.05459	-1.12575	3.41081
564	0.054687	-1.12565	3.41084
565	0.0547839	-1.12556	3.41087
566	0.0548809	-1.12546	3.41089
567	0.0549779	-1.12536	3.41092
568	0.0550748	-1.12527	3.41095
569	0.0551718	-1.12517	3.41098
570	0.0552688	-1.12507	3.41101
571	0.0553657	-1.12497	3.41104
572	0.0554627	-1.12488	3.41107
573	0.0555596	-1.12478	3.41109
574	0.0556566	-1.12468	3.41112
575	0.0557536	-1.12459	3.41115
576	0.0558505	-1.12449	3.41118
577	0.0559475	-1.12439	3.41121
578	0.0560445	-1.1243	3.41124
579	0.0561414	-1.1242	3.41127
580	0.0562384	-1.1241	3.4113
581	0.0563353	-1.124	3.41132
582	0.0564323	-1.12391	3.41135
583	0.0565293	-1.12381	3.41138
584	0.0566262	-1.12371	3.41141
585	0.0567232	-1.12362	3.41144
586	0.0568202	-1.12352	3.41147
587	0.0569171	-1.12342	3.4115
588	0.0570141	-1.12333	3.41152
589	0.0571111	-1.12323	3.41155
590	0.057208	-1.12313	3.41158
591	0.057305	-1.12304	3.41161
592	0.0574019	-1.12294	3.41164
593	0.0574989	-1.12284	3.41167
594	0.0575959	-1.12274	3.4117
595	0.0576928	-1.12265	3.41173
596	0.0577898	-1.12255	3.41175
597	0.0578868	-1.12245	3.41178
598	0.0579837	-1.12236	3.41181
599	0.0580807	-1.12226	3.41184
